hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 260.254, 143.381, 264.879, 157.719, 256.805, 145.728
2, 0.00000, 240.465, 133.02, 244.129, 144.904, 237.982, 135.001
3, 0.00000, 233.956, 129.584, 237.33, 140.713, 231.765, 131.454
4, 0.00000, 224.179, 124.413, 227.136, 134.459, 222.399, 126.119
5, 0.00000, 223.017, 123.798, 225.927, 133.719, 221.284, 125.485
6, 0.00000, 231.567, 128.317, 234.837, 139.175, 229.48, 130.147
7, 0.00000, 252.547, 139.344, 256.786, 152.694, 249.492, 141.548
8, 0.00000, 287.454, 157.567, 293.539, 175.477, 282.603, 160.445
9, 0.00000, 321.338, 175.149, 327.293, 196.727, 312.33, 177.248
10, 0.00000, 338.377, 183.625, 347.793, 209.532, 330.234, 187.651
11, 0.00000, 362.198, 195.849, 371.063, 224.199, 352.444, 200.366
12, 0.00000, 381.105, 205.232, 391.443, 237.232, 369.742, 210.262
13, 0.00000, 379.573, 204.49, 389.785, 236.192, 368.339, 209.475
14, 0.00000, 377.635, 203.521, 387.693, 234.835, 366.575, 208.454
15, 0.00000, 381.413, 205.383, 391.776, 237.444, 370.023, 210.422
16, 0.00000, 384.964, 207.136, 395.617, 239.912, 373.257, 212.273
17, 0.00000, 385.351, 207.328, 396.035, 240.182, 373.608, 212.475
18, 0.00000, 369.145, 199.309, 378.536, 228.971, 358.813, 204.011
19, 0.00000, 360.658, 195.085, 369.407, 223.151, 351.029, 199.562
20, 0.00000, 351.781, 190.642, 359.885, 217.087, 342.862, 194.889
21, 0.00000, 337.497, 183.442, 344.617, 207.389, 329.668, 187.335
22, 0.00000, 337.496, 183.44, 344.617, 207.386, 329.668, 187.334
23, 0.00000, 318.974, 174.04, 324.913, 194.953, 312.455, 177.494
24, 0.00000, 290.62, 159.288, 296.846, 177.452, 285.711, 162.214
