hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2385.99, 26.3375, 2475.31, -91.7285, 2370.42, 147.063, 124.534, -2.51414, 124.542, -122.5, 124.565, 117.49
2, 0.00000, 2397.34, 26.6287, 2476.45, -91.6185, 2386.37, 147.246, 114.629, -2.3216, 114.638, -122.31, 114.654, 117.68
3, 0.00000, 2401.05, 26.7241, 2476.82, -91.5826, 2391.61, 147.306, 111.387, -2.25714, 111.396, -122.246, 111.41, 117.744
4, 0.00000, 2406.59, 26.8666, 2477.38, -91.5286, 2399.42, 147.395, 106.536, -2.16246, 106.544, -122.153, 106.555, 117.838
5, 0.00000, 2407.25, 26.8834, 2477.45, -91.5222, 2400.34, 147.406, 105.96, -2.1515, 105.969, -122.142, 105.98, 117.849
6, 0.00000, 2402.4, 26.7592, 2476.96, -91.5695, 2393.53, 147.328, 110.199, -2.23275, 110.208, -122.222, 110.221, 117.769
7, 0.00000, 2390.42, 26.4516, 2475.75, -91.6859, 2376.68, 147.135, 120.664, -2.43638, 120.673, -122.423, 120.693, 117.567
8, 0.00000, 2386.07, 25.9753, 2489.19, -91.8646, 2364.72, 146.838, 137.384, -2.75393, 137.39, -122.735, 137.425, 117.253
9, 0.00000, 2383.32, 25.5314, 2486.94, -92.0339, 2338.07, 146.525, 153.556, -3.06177, 153.549, -123.043, 153.596, 116.95
10, 0.00000, 2372.09, 25.2615, 2501.77, -92.1304, 2339.29, 146.395, 162.3, -3.22563, 162.299, -123.198, 162.368, 116.789
11, 0.00000, 2374.36, 24.9748, 2499.9, -92.2597, 2336.87, 146.204, 173.418, -3.4263, 173.421, -123.4, 173.488, 116.586
12, 0.00000, 2363.02, 24.6897, 2498.79, -92.3659, 2321, 146.027, 183.178, -3.61358, 183.176, -123.584, 183.26, 116.402
13, 0.00000, 2363.94, 24.7124, 2498.89, -92.357, 2322.26, 146.041, 182.387, -3.60061, 182.386, -123.571, 182.468, 116.415
14, 0.00000, 2365.11, 24.7421, 2499, -92.3462, 2323.91, 146.06, 181.381, -3.5797, 181.381, -123.551, 181.461, 116.435
15, 0.00000, 2362.84, 24.6851, 2498.77, -92.3676, 2320.74, 146.025, 183.337, -3.61647, 183.335, -123.586, 183.419, 116.399
16, 0.00000, 2360.7, 24.6311, 2498.56, -92.3876, 2317.74, 145.991, 185.18, -3.65204, 185.177, -123.621, 185.265, 116.364
17, 0.00000, 2360.46, 24.6252, 2498.54, -92.3897, 2317.41, 145.987, 185.381, -3.65604, 185.378, -123.625, 185.466, 116.36
18, 0.00000, 2370.21, 24.8704, 2499.49, -92.2986, 2331.05, 146.139, 176.994, -3.49514, 176.996, -123.468, 177.068, 116.518
19, 0.00000, 2375.28, 24.9977, 2499.99, -92.251, 2338.14, 146.218, 172.628, -3.41191, 172.631, -123.386, 172.696, 116.6
20, 0.00000, 2380.56, 25.1305, 2500.5, -92.2014, 2345.55, 146.301, 168.077, -3.32419, 168.082, -123.3, 168.14, 116.686
21, 0.00000, 2389, 25.3432, 2501.33, -92.1221, 2357.4, 146.433, 160.791, -3.18258, 160.798, -123.161, 160.845, 116.826
22, 0.00000, 2389, 25.3433, 2501.33, -92.1222, 2357.41, 146.433, 160.79, -3.1823, 160.797, -123.161, 160.845, 116.826
23, 0.00000, 2399.86, 25.6162, 2502.4, -92.0195, 2372.63, 146.603, 151.411, -3.00175, 151.42, -122.984, 151.456, 117.004
24, 0.00000, 2400.07, 25.9712, 2504.47, -91.8665, 2378.62, 146.837, 138.084, -2.75578, 138.09, -122.737, 138.126, 117.251
